Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none_r,other_r
abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
category,0.0,1.7483725163063581,0.3182718853688914,0.20997287883913368,0.13155001168727254,0.6393186644015203,0.0,0.0,0.9527899669754382,0.18957793530510564,0.6449730596521527,0.5010922405772152,0.0,0.2983400328102921,0.24688735995078548,0.7181062121566477,0.7753739947584226,0.6060561221245757,0.23963139658108817,0.9325515351740697,0.24083726173449804,0.23041917965918352,0.44731507987865304,0.139060798454741,0.6535471337722266,0.0,0.4357744167377387,0.0,0.3157802827597088,0.1926331308290236,0.139060798454741,0.139060798454741,0.139060798454741,0.4591430778180803,0.6693958691121158,0.2781913986676421,0.1926331308290236,0.0,0.06483120538159501,0.0,0.0,0.139060798454741,1.3832842506261824,0.42804728220381216
collective,0.0,0.3182718853688914,0.8046725637738129,0.22927348263957914,0.02446900538004501,0.1417442951474848,0.0,0.0,0.45865850678550074,0.12193170047414777,0.4086487570502586,0.19875867517235174,0.0,0.11708020611698725,0.09334058311764033,0.3384352834152051,0.3594304132463272,0.21099950160041436,0.04245947990153612,0.3795938112926405,0.10969208761028243,0.04245947990153612,0.14996120689208153,0.00785443303741834,0.26209329212156696,0.0,0.3487366896915602,0.0,0.13908547189471307,0.08623378879649475,0.00785443303741834,0.00785443303741834,0.00785443303741834,0.19712467645962084,0.2459625814177917,0.4380145973296828,0.08623378879649475,0.0,0.2771133574914558,0.0,0.0,0.00785443303741834,0.5098761911709881,0.2954977985550393
datatype,0.0,0.20997287883913368,0.22927348263957914,0.5067352576114267,0.10232684882863868,0.1769758051912242,0.0,0.0,0.3170969579787984,0.1703277470212043,0.21370635295050763,0.15648998695304533,0.0,0.10580304938640497,0.23598576737733717,0.18596763851430365,0.1914582034389305,0.074477081773892,0.04974007140359421,0.3317247060702752,0.013191848649462712,0.02283106840434654,0.12116273460646367,0.0042442077425901,0.16733284432883572,0.0,0.2972979406838254,0.0,0.09681678367540662,0.008637848230606732,0.0042442077425901,0.0042442077425901,0.0042442077425901,0.1046809957772019,0.1292080559958827,0.18339898995229298,0.008637848230606732,0.0,0.1422967667793052,0.0,0.0,0.0042442077425901,0.42854737893358463,0.15403314967286894
enumeration,0.0,0.13155001168727254,0.02446900538004501,0.10232684882863868,0.4141240568744844,0.12768630323927851,0.0,0.0,0.28415896051949485,0.07771654628426268,0.16441685099856193,0.020557087431106458,0.0,0.14564854761363527,0.14337456664039488,0.17944030205569428,0.18721415667314684,0.11133479874663639,0.08833523608397499,0.1609256266554911,0.009715648091696422,0.0168020739442913,0.028551533869521445,0.003127898932802617,0.24367852116164218,0.0,0.24367852116164224,0.0,0.020557087431106458,0.006363867257366318,0.003127898932802617,0.003127898932802617,0.003127898932802617,0.16762549971983268,0.2170859502866685,0.020557087431106486,0.006363867257366318,0.0,0.006363867257366318,0.0,0.0,0.003127898932802617,0.2926144794116461,0.12109515221356532
event,0.0,0.6393186644015203,0.1417442951474848,0.1769758051912242,0.12768630323927851,1.587510162564663,0.0,0.0,0.6946655258640373,0.14962046920840422,0.6411349924527067,0.3396703535438592,0.0,0.2636192027612173,0.24837582802600627,0.6275357514923033,0.7175065430793622,0.717555403188643,0.5385569462609419,0.91045663953589,0.24837582802600627,0.519125318260096,0.6335858497085906,0.13906079845474106,0.5736843588024996,0.0,0.37333837347525384,0.0,0.22485940348387373,0.23379165870645902,0.13906079845474106,0.13906079845474106,0.13906079845474106,0.48823630723237094,0.4652118165854237,0.19335375269622726,0.23379165870645902,0.0,0.03399730264124662,0.0,0.0,0.13906079845474106,1.3793571875318313,0.46170910320152775
historicalRole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historicalRoleMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kind,0.0,0.9527899669754382,0.45865850678550074,0.3170969579787984,0.28415896051949485,0.6946655258640373,0.0,0.0,2.23693636561884,0.16557269498027521,0.6615668139130978,0.44066233926982334,0.0,0.18587506686428262,0.24083726173449826,1.0930564696067826,1.2051710169413012,0.5589676148161178,0.17437505672880127,1.1960513716694179,0.12778320316381098,0.2879886485911489,0.5716970396589949,0.03747236926991339,0.6971110823255257,0.0,0.816457488880803,0.0,0.5258992639620088,0.07741590135077558,0.03747236926991339,0.03747236926991339,0.03747236926991339,0.9896221530377518,0.8944598819292496,0.32620180782132835,0.07741590135077558,0.0,0.19046995992146284,0.0,0.0,0.03747236926991339,1.7255314990910327,0.6991556980051646
mixin,0.0,0.18957793530510564,0.12193170047414777,0.1703277470212043,0.07771654628426268,0.14962046920840422,0.0,0.0,0.16557269498027521,0.5115867519685875,0.21855784730766875,0.2912453863720896,0.0,0.24311124270773815,0.21017324524843523,0.20228476225732395,0.32194845233595915,0.09518390197839208,0.027682562761507684,0.20012159134976293,0.07771654628426268,0.08735576603914644,0.049593818227688685,0.005401879906042573,0.21550603747099295,0.0,0.18561597424132406,0.0,0.10308859337232351,0.010997739978585136,0.005401879906042573,0.005401879906042573,0.005401879906042573,0.1095324901343625,0.19373275363068243,0.10308859337232351,0.010997739978585136,0.0,0.010997739978585136,0.0,0.0,0.005401879906042573,0.46826505318359096,0.24552804160002317
