Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
bringsAbout,23,0.323943661971831,0.0,0,0.8746370330816247,0.764989939637827,2.73624994477994,6.684244179254122,0.0,0.0,0.0,0,4,4,1.0,3.0
characterization,260,3.6619718309859155,2.0,0,4.622750146123072,21.369818913480884,1.6144612428859557,2.5590641000681096,0.0,5.5,5.5,0,21,21,1.0,20.0
comparative,13,0.18309859154929578,0.0,0,1.0185404004180207,1.0374245472837018,6.965172621547837,51.78737637138448,0.0,0.0,0.0,0,8,8,1.0,7.0
componentOf,117,1.647887323943662,0.0,0,3.7420337921254063,14.00281690140845,3.7517492685138483,18.237554179342645,0.0,1.5,1.5,0,24,24,1.0,23.0
creation,34,0.4788732394366197,0.0,0,1.1570795123879463,1.3388329979879277,2.7856510596099198,8.146496524102815,0.0,0.0,0.0,0,6,6,1.0,5.0
derivation,52,0.7323943661971831,0.0,0,1.7481234549316285,3.055935613682093,3.891111665787555,18.040895235764772,0.0,1.0,1.0,0,11,11,1.0,10.0
externalDependence,63,0.8873239436619719,0.0,0,2.060161545501073,4.244265593561369,2.989980824386346,9.773004491328201,0.0,0.5,0.5,0,11,11,1.0,10.0
historicalDependence,30,0.4225352112676056,0.0,0,1.1669492807069441,1.3617706237424545,3.716865361474789,15.873442266009613,0.0,0.0,0.0,0,7,7,1.0,6.0
instantiation,61,0.8591549295774648,0.0,0,2.1666021762057834,4.694164989939638,2.8141583966320223,7.50161661650538,0.0,0.0,0.0,0,10,10,1.0,9.0
manifestation,31,0.43661971830985913,0.0,0,1.4215926115874122,2.0209255533199193,4.982549709136586,29.90764600593441,0.0,0.0,0.0,0,10,10,1.0,9.0
material,225,3.1690140845070425,0.0,0,7.769879417142948,60.37102615694164,4.332102112790782,22.46610988717122,0.0,2.5,2.5,0,51,51,1.0,50.0
mediation,365,5.140845070422535,2.0,0,6.153502544191251,37.8655935613682,1.3373206119418235,1.1906866414319373,0.0,8.0,8.0,0,26,26,1.0,25.0
memberOf,36,0.5070422535211268,0.0,0,1.3925643297438182,1.9392354124748494,3.594003475911357,13.524815893838424,0.0,0.0,0.0,0,7,7,1.0,6.0
participation,101,1.4225352112676057,0.0,0,2.8817751068741635,8.304627766599596,2.4334280608068677,6.010933820483578,0.0,1.0,1.0,0,14,14,1.0,13.0
participational,2,0.028169014084507043,0.0,0,0.16663312875171465,0.027766599597585512,5.827259561335166,32.88279773156902,0.0,0.0,0.0,0,1,1,1.0,0.0
subCollectionOf,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
subQuantityOf,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
termination,3,0.04225352112676056,0.0,0,0.26385167469133963,0.06961770623742453,6.7037138545237624,46.74579838952187,0.0,0.0,0.0,0,2,2,1.0,1.0
triggers,13,0.18309859154929578,0.0,0,0.5684530174060016,0.32313883299798796,3.372208157844216,11.401347326551656,0.0,0.0,0.0,0,3,3,1.0,2.0
none,1014,14.28169014084507,8.0,0,14.85374709684063,220.63380281690144,1.434593659120674,1.900059317857334,3.0,21.0,18.0,0,67,67,1.0,66.0
other,123,1.732394366197183,0.0,0,5.572785265348206,31.055935613682077,5.230696027037632,32.592923450218976,0.0,0.0,0.0,0,40,40,1.0,39.0
