Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,0,0.0,0,0.0,0.0,0.0
category,72,2.25,20,0.625,0.060453400503778336,0.0796812749003984
collective,16,0.5,7,0.21875,0.01343408900083963,0.027888446215139442
datatype,7,0.21875,4,0.125,0.005877413937867338,0.01593625498007968
enumeration,10,0.3125,3,0.09375,0.008396305625524769,0.01195219123505976
event,121,3.78125,13,0.40625,0.1015952980688497,0.05179282868525897
historicalRole,0,0.0,0,0.0,0.0,0.0
historicalRoleMixin,0,0.0,0,0.0,0.0,0.0
kind,157,4.90625,22,0.6875,0.13182199832073888,0.08764940239043825
mixin,6,0.1875,5,0.15625,0.005037783375314861,0.0199203187250996
mode,55,1.71875,11,0.34375,0.04617968094038623,0.043824701195219126
phase,24,0.75,6,0.1875,0.020151133501259445,0.02390438247011952
phaseMixin,0,0.0,0,0.0,0.0,0.0
quality,13,0.40625,4,0.125,0.0109151973131822,0.01593625498007968
quantity,10,0.3125,3,0.09375,0.008396305625524769,0.01195219123505976
relator,85,2.65625,21,0.65625,0.07136859781696053,0.08366533864541832
role,95,2.96875,20,0.625,0.07976490344248531,0.0796812749003984
roleMixin,54,1.6875,13,0.40625,0.04534005037783375,0.05179282868525897
situation,15,0.46875,5,0.15625,0.012594458438287154,0.0199203187250996
subkind,148,4.625,21,0.65625,0.12426532325776658,0.08366533864541832
type,5,0.15625,3,0.09375,0.0041981528127623844,0.01195219123505976
bringsAbout,3,0.09375,1,0.03125,0.0025188916876574307,0.00398406374501992
characterization,46,1.4375,10,0.3125,0.038623005877413935,0.0398406374501992
comparative,0,0.0,0,0.0,0.0,0.0
componentOf,41,1.28125,10,0.3125,0.03442485306465155,0.0398406374501992
creation,0,0.0,0,0.0,0.0,0.0
derivation,21,0.65625,6,0.1875,0.017632241813602016,0.02390438247011952
externalDependence,8,0.25,2,0.0625,0.006717044500419815,0.00796812749003984
historicalDependence,5,0.15625,1,0.03125,0.0041981528127623844,0.00398406374501992
instantiation,2,0.0625,1,0.03125,0.0016792611251049538,0.00398406374501992
manifestation,3,0.09375,1,0.03125,0.0025188916876574307,0.00398406374501992
material,49,1.53125,12,0.375,0.04114189756507137,0.04780876494023904
mediation,86,2.6875,15,0.46875,0.07220822837951302,0.05976095617529881
memberOf,10,0.3125,6,0.1875,0.008396305625524769,0.02390438247011952
participation,15,0.46875,2,0.0625,0.012594458438287154,0.00796812749003984
participational,0,0.0,0,0.0,0.0,0.0
subCollectionOf,7,0.21875,2,0.0625,0.005877413937867338,0.00796812749003984
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,0,0.0,0,0.0,0.0,0.0
triggers,2,0.0625,1,0.03125,0.0016792611251049538,0.00398406374501992
