Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,other,none
bringsAbout,0.11924692639624487,0.11924692639624523,0.0006748417355691497,0.01377428556323243,0.0,0.0077122396090133355,0.08370091713676053,0.11924692639624487,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.009578070151158996,0.11924692639624446,0.0,0.002812969596757864,0.0013679268214664558,0.0,0.11924692639624487,0.01377428556323243,0.11924692639624498
characterization,0.11924692639624523,1.5522355559605487,0.07028429806587504,0.7690710982830251,0.0,0.5490758646875277,0.32015200137221456,0.11924692639624523,0.11924692639624523,0.11924692639624523,0.659444568223184,1.1402320318911778,0.4937990801511325,0.23781901105692071,0.0,0.2608042074989485,0.23781901105692071,0.0,0.11924692639624523,0.9036444099316194,1.256225772276402
comparative,0.0006748417355691497,0.07028429806587504,0.11924692639624487,0.07028429806587476,0.0,0.0077122396090133355,0.0020802691580273647,0.0006748417355691497,0.0006748417355691497,0.0006748417355691497,0.07028429806587443,0.08370091713676059,0.08370091713676052,0.0013679268214664558,0.0,0.002812969596757864,0.0013679268214664558,0.0,0.0006748417355691497,0.01377428556323243,0.11924692639624498
componentOf,0.01377428556323243,0.7690710982830251,0.07028429806587476,1.5387687286491647,0.0,0.6201176749659988,0.06140999421675286,0.01377428556323243,0.01377428556323243,0.01377428556323243,0.7835897630822802,0.83126652929899,0.5158782620992328,0.02803963223182926,0.0,0.31842939870653325,0.1888563827265502,0.0,0.01377428556323243,0.668809636380286,1.071966760322695
creation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derivation,0.0077122396090133355,0.5490758646875277,0.0077122396090133355,0.6201176749659988,0.0,1.0174909662812537,0.09799857348783354,0.0077122396090133355,0.0077122396090133355,0.0077122396090133355,0.8129276818420602,0.7255420890612219,0.3430111627162069,0.015665583172539632,0.0,0.2546919533042313,0.1801436116088378,0.0,0.0077122396090133355,0.814093068787501,0.777381672582576
externalDependence,0.08370091713676053,0.32015200137221456,0.0020802691580273647,0.06140999421675286,0.0,0.09799857348783354,0.3201520013722143,0.08370091713676053,0.08370091713676053,0.08370091713676053,0.06893414665853993,0.21351397359376117,0.08865358881517522,0.20227300179743585,0.0,0.008681773130718246,0.004218397019216058,0.0,0.08370091713676053,0.21467936053920178,0.2152888830563754
historicalDependence,0.11924692639624487,0.11924692639624523,0.0006748417355691497,0.01377428556323243,0.0,0.0077122396090133355,0.08370091713676053,0.11924692639624487,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.009578070151158996,0.11924692639624446,0.0,0.002812969596757864,0.0013679268214664558,0.0,0.11924692639624487,0.01377428556323243,0.11924692639624498
instantiation,0.11924692639624487,0.11924692639624523,0.0006748417355691497,0.01377428556323243,0.0,0.0077122396090133355,0.08370091713676053,0.11924692639624487,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.009578070151158996,0.11924692639624446,0.0,0.002812969596757864,0.0013679268214664558,0.0,0.11924692639624487,0.01377428556323243,0.11924692639624498
manifestation,0.11924692639624487,0.11924692639624523,0.0006748417355691497,0.01377428556323243,0.0,0.0077122396090133355,0.08370091713676053,0.11924692639624487,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.009578070151158996,0.11924692639624446,0.0,0.002812969596757864,0.0013679268214664558,0.0,0.11924692639624487,0.01377428556323243,0.11924692639624498
